experiment,classifier,feature_set,imbalance_handling,mean_accuracy,std_accuracy,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted,mean_f1_weighted,std_f1_weighted
Text + numeric features,Logistic Regression,Text + numeric features,No SMOTE,0.85,0.028284271247461888,0.853069084476107,0.03159777792706505,0.85,0.028284271247461888,0.8502605706908108,0.02989044884056617
Full hybrid feature set,Logistic Regression,Full hybrid feature set,No SMOTE,0.826,0.02154065922853799,0.8308742444312806,0.024257188266216863,0.826,0.02154065922853799,0.8249178348399813,0.024652545824059395
Text only,Logistic Regression,Text only,No SMOTE,0.558,0.044452221541785734,0.5608342118691294,0.04263980868557063,0.558,0.044452221541785734,0.5559238084741136,0.04188131032557273
Text + product category,Logistic Regression,Text + product category,No SMOTE,0.5399999999999999,0.034641016151377525,0.5454419709083078,0.03338508339363926,0.5399999999999999,0.034641016151377525,0.540967878869764,0.0328210522173031
