classifier,imbalance_handling,mean_accuracy,std_accuracy,mean_precision_weighted,mean_recall_weighted,mean_f1_weighted,std_f1_weighted
Linear SVC,class_weight=balanced,0.8099999999999999,0.03405877273185279,0.8182921610415729,0.8099999999999999,0.8092338913089225,0.03419179282011069
Voting Ensemble,class_weight=balanced,0.8019999999999999,0.03187475490101844,0.8034914162141703,0.8019999999999999,0.8012603372433829,0.031441841142508045
Logistic Regression,class_weight=balanced,0.798,0.027856776554368225,0.8072462348675369,0.798,0.7999911304201237,0.029083657691515313
Linear SVC,class_weight=balanced + SMOTE,0.782,0.037094473981982824,0.7923974199003612,0.782,0.7813879841983509,0.037795100711772396
Voting Ensemble,class_weight=balanced + SMOTE,0.758,0.03187475490101848,0.7700822792554759,0.758,0.7601415577527563,0.03199661002454971
Logistic Regression,class_weight=balanced + SMOTE,0.74,0.03346640106136305,0.7720338870113898,0.74,0.7461422284322314,0.03442227066153197
Random Forest,class_weight=balanced,0.646,0.04963869458396343,0.6275876479962701,0.646,0.622442632317708,0.049186908466250207
Random Forest,class_weight=balanced + SMOTE,0.616,0.03322649545167233,0.6094163019679197,0.616,0.6082656424967425,0.030876193185009403
