experiment,classifier,tfidf_variant,word_ngram_range,char_ngram_range,imbalance_handling,mean_accuracy,std_accuracy,mean_precision_weighted,std_precision_weighted,mean_recall_weighted,std_recall_weighted,mean_f1_weighted,std_f1_weighted
Character wb 3-5,Linear SVC,char,"(1, 2)","(3, 5)",class_weight=balanced,0.8219999999999998,0.03059411708155669,0.8325670243515209,0.024965052249557074,0.8219999999999998,0.03059411708155669,0.8225312298690153,0.02864742843339123
Word unigram + bigram,Linear SVC,word,"(1, 2)","(3, 5)",class_weight=balanced,0.8219999999999998,0.03544009029333869,0.8282660445538829,0.030507725183342754,0.8219999999999998,0.03544009029333869,0.8209224215498526,0.03585418038315202
Word + character,Linear SVC,word_char,"(1, 2)","(3, 5)",class_weight=balanced,0.8099999999999999,0.03405877273185279,0.8182921610415729,0.02810134329396265,0.8099999999999999,0.03405877273185279,0.8092338913089225,0.03419179282011069
Word unigram,Linear SVC,word,"(1, 1)","(3, 5)",class_weight=balanced,0.8039999999999999,0.04176122603564218,0.8135166086669802,0.03948219209592163,0.8039999999999999,0.04176122603564218,0.8040973369628619,0.04322331310594692
