classifier,best_mean_f1_weighted,best_std_f1_weighted,best_params
Logistic Regression,0.8093103095559192,0.04091619161562784,"{""classifier__C"": ""5.0"", ""features__text__normalize__remove_bengali_stopwords"": ""True"", ""features__text__tfidf__char__max_features"": ""500"", ""features__text__tfidf__word__max_features"": ""2000"", ""features__text__tfidf__word__ngram_range"": ""(1, 2)"", ""smote"": ""passthrough""}"
Linear SVC,0.8045124275750318,0.040686408717296924,"{""classifier__C"": ""1.0"", ""features__text__normalize__remove_bengali_stopwords"": ""True"", ""features__text__tfidf__char__max_features"": ""500"", ""features__text__tfidf__word__max_features"": ""500"", ""features__text__tfidf__word__ngram_range"": ""(1, 1)"", ""smote"": ""passthrough""}"
Random Forest,0.6547038411198018,0.055893618498444424,"{""classifier__max_depth"": ""8"", ""classifier__min_samples_split"": ""2"", ""classifier__n_estimators"": ""200"", ""features__text__normalize__remove_bengali_stopwords"": ""True"", ""features__text__tfidf__char__max_features"": ""500"", ""features__text__tfidf__word__max_features"": ""500"", ""features__text__tfidf__word__ngram_range"": ""(1, 1)"", ""smote"": ""passthrough""}"
